"Profile Name","Esn","Profile First Playback Date For User Generated Plays","Deactivation Time","Acct Last Playback Date For User Generated Plays","Acct Last Playback Date","Profile Last Playback Date For User Generated Plays","Acct First Playback Date For User Generated Plays","Profile First Playback Date","Profile Last Playback Date","Device Type","Acct First Playback Date"
"Arnav","NFANDROID1-PRV-P-L3-ONEPLCPH2491-22594-00A16BFD3340E48093467C64FFBB0AC9878D3E09B6DC6DD13C7CAE4AF2DD5B80D","","","","","","","","","Android DefaultWidevineL3Phone Android Phone",""
"Arnav","NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","2026-04-08 02:49:46","","2026-04-14 21:00:26","2026-04-14 21:00:26","2026-04-14 21:00:26","2026-04-08 02:49:46","2023-08-05 04:03:29","2026-04-14 21:00:26","DefaultWidevineAndroidPhone","2023-08-05 04:03:29"
"Arnav","NFCDCH-AP-MXX8X7R4UX2CU13PD3G9QU4LN2CMPK","","2026-04-14 20:38:17","","","","","","","Netflix Android Phone-Chrome Android Phone",""
"Arnav","NFCDCH-AP-WEBVIEW-NFANDROID1-PRV-P-ONEPLCPH2491-28264-0A6F43CEBC46E45E8F45C6425B44D99D7535E2080EA3C995DC36ACDC5EE1234C","","","","","","","","","Netflix Android Phone-Chrome Android Phone",""
"Arnav","NFANDROID1-PRV-P-XIAOMREDMI=NOTE=7=PRO-12207-4417958A21F175435467C41D4A2ADCF15E55ABD853F39E5231A6EF034EC3BF91","","2023-08-05 04:04:11","","2023-08-05 03:20:28","","","2022-10-12 16:49:55","2023-08-05 03:20:28","DefaultWidevineAndroidPhone","2022-10-12 16:49:55"
"Arnav","NFANDROID1-PRV-P-XIAOMREDMI=NOTE=7=PRO-12207-0BD9690D4C443D5FC3B1FA3C8E746A72A94E980AB462594AC2B0075CE0A026044","","2022-07-05 16:47:01","","2022-10-14 06:59:23","","","2022-01-14 08:29:55","2022-10-14 06:59:23","DefaultWidevineAndroidPhone","2022-01-14 08:29:55"
"Arnav","NFCDCH-AP-HXXTA9MTELF8M6F20KULQ2FK1Y3RJF","","","","","","","","","Netflix Android Phone-Chrome Android Phone",""
"Arnav","NFCDCH-AP-JFQN4H6R9T6ET5RJ6YGPY9DUKMQGF9","","","","","","","","","Netflix Android Phone-Chrome Android Phone",""
"Arnav","NFCDCH-AP-L6E99KEDUXMJ10L3U6KRH9XMHFRY5R","","","","","","","","","Netflix Android Phone-Chrome Android Phone",""
"Arnav","NFCDCH-02-ML0FXVAQ2789PNJ54NHWN70RFGUTUW","2026-04-13 12:16:25","","2026-04-13 17:07:29","2026-04-13 18:17:27","2026-04-13 17:07:29","2026-04-13 12:16:25","2025-12-03 13:32:37","2026-04-13 18:17:27","Chrome PC (Cadmium)","2025-12-03 13:32:37"
